objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,anti-communist_poster001.jpg,,,"Civilians and police, with one heart, let us catch spies","National Police Bureau, Ministry of Home Affairs",1960,Anti-communist poster of South Korea's authoritarian era (1961–79),anti-communism;propaganda;cold war;north korea;counterespionage; animal,South Korea,,,"Naemubu Ch’ian’guk, “Min’gyŏng i hanmaŭm ŭro kanch’ŏp ŭl chabanaeja,” n.d., anti-communist and counterespionage poster, paper, National Folk Museum of Korea, collection no. Minsok 47469, e Myujiŏm Chŏn’guk Pangmulgwan Sojangp’um Kŏmsaek, https://www.emuseum.go.kr/detail?relicId=PS0100200100104746900000.",Minsok 47469,Image;StillImage,image/jpeg,kor,Type 1,https://www.kogl.or.kr/info/license.do#guidetab5-tab
coll002,anti-communist_poster002.jpg,,,Let us beat down Kim Il Sung with national strength and total unity,unknown,1970,Anti-communist poster of South Korea's authoritarian era (1961–79),anti-communism; propaganda; cold war; north korea; kim il sung,South Korea,,,"“Ttaeryŏjapcha Kim Il Sung,” n.d., anti-communist poster, paper, Kosŏhyang, item no. 3000004353, https://www.goseohyang.com/shop/largeimage.php?it_id=3000004353&no=1.",3000004353,Image;StillImage,image/jpeg,kor,,
coll003,nk_environment001.jpg,,,Forest Degradation along the Sami-ch’ŏn ,Noksak Yŏnhap,2018,"The northwestern Sami-ch’ŏn area in Kaep’ung County, North Hwanghae Province",deforestation;forest degradation;watersheds;environmental change;sami-ch’ŏn ,"North Hwanghae Province, North Korea",37.95286,126.45641,"Pae Mun-gyu, “Hanbando ŭi ‘pŏtkyŏjin’ hŏri… Pukhan chŏpkyŏng chiyŏk sallim hwangp’yehwa silt’ae,” Kyŏnghyang Sinmun, May 24, 2018, photographs from Noksak Yŏnhap, https://www.khan.co.kr/article/201805241650001.",,Image;StillImage,image/jpeg,,,
coll004,nk_environment002.jpg,,,Forest Degradation along the Imjin River,Noksak Yŏnhap,2018,"The Rimjin-gang watershed in Changp’ung County, North Hwanghae Province",deforestation;forest degradation;watersheds;environmental change; imjin river,"North Hwanghae Province, North Korea",38.08235,126.67078,"Pae Mun-gyu, “Hanbando ŭi ‘pŏtkyŏjin’ hŏri… Pukhan chŏpkyŏng chiyŏk sallim hwangp’yehwa silt’ae,” Kyŏnghyang Sinmun, May 24, 2018, photographs from Noksak Yŏnhap, https://www.khan.co.kr/article/201805241650001.",,Image;StillImage,image/jpeg,,,
coll005,rabies_map001.jpg,,,"Regional Distribution of Animal Rabies Cases in South Korea, 1993–2009","Yi Kyŏng-gi, National Veterinary Research and Quarantine Service",2009,Map showing animal rabies cases by period and region,rabies;animal disease;epidemiology;spatial distribution;inter-korean borderlands,South Korea,,,"Yi Kyŏng-gi, Kungnae kwanggyŏnbyŏng palsaeng sanghwang mit mikki yebangyak kwalli pangan, (presentation material, Kwanggyŏnbyŏng yebang kanghwa rŭl wihan yugwan kigwan t’oronhoe, Anyang: National Veterinary Research and Quarantine Service, 2009), 10, National Assembly Library, control no. NONB1200935986, https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=NONB1200935986.",NONB1200935986,Image;StillImage,image/jpeg,eng,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
coll014,,,,,,,,,,,,,,,,,,
coll015,,,,,,,,,,,,,,,,,,
coll016,,,,,,,,,,,,,,,,,,
coll017,,,,,,,,,,,,,,,,,,
coll018,,,,,,,,,,,,,,,,,,
coll019,,,,,,,,,,,,,,,,,,
coll020,,,,,,,,,,,,,,,,,,
coll021,,,,,,,,,,,,,,,,,,
coll022,,,,,,,,,,,,,,,,,,
coll023,,,,,,,,,,,,,,,,,,
coll024,,,,,,,,,,,,,,,,,,
coll025,,,,,,,,,,,,,,,,,,
coll026,,,,,,,,,,,,,,,,,,
coll027,,,,,,,,,,,,,,,,,,
coll028,,,,,,,,,,,,,,,,,,
coll029,,,,,,,,,,,,,,,,,,
coll030,,,,,,,,,,,,,,,,,,
coll031,,,,,,,,,,,,,,,,,,
coll032,,,,,,,,,,,,,,,,,,
coll033,,,,,,,,,,,,,,,,,,
coll034,,,,,,,,,,,,,,,,,,
coll035,,,,,,,,,,,,,,,,,,
coll036,,,,,,,,,,,,,,,,,,
coll037,,,,,,,,,,,,,,,,,,
coll038,,,,,,,,,,,,,,,,,,
